,Feature,Importance
0,Unnamed: 0,0.051589334515266205
1,set_no,0.051589334515266205
50,elapsed_seconds,0.051589334515266205
53,predicted momentum,0.051589334515266205
54,integrated point winner,0.051589334515266205
55,win probability,0.051589334515266205
13,p2_points_won,0.051589334515266205
12,p1_points_won,0.051589334515266205
56,partial win probability,0.051589334515266205
57,micro,0.051589334515266205
9,p2_score,0.051589334515266205
7,p2_games,0.051589334515266205
6,p1_games,0.051589334515266205
4,p1_sets,0.051589334515266205
3,point_no,0.051589334515266205
2,game_no,0.051589334515266205
52,predicted performance,0.025794667257633103
8,p1_score,0.01719644483842207
5,p2_sets,0.012897333628816551
51,performance,0.010317866903053242
37,speed_mph,0.008598222419211035
58,macro,0.007369904930752315
35,p2_distance_run,0.006448666814408276
34,p1_distance_run,0.005732148279474022
36,rally_count,0.005158933451526621
14,game_victor,0.004689939501387837
29,p2_break_pt,0.004299111209605517
41,serve_width_C,0.00396841034732817
45,return_depth_D,0.0036849524653761573
22,p1_unf_err,0.0036849524653761573
39,serve_width_BC,0.003224333407204138
46,return_depth_ND,0.00303466673619213
42,serve_width_W,0.002866074139737011
11,serve_no,0.002715228132382432
23,p2_unf_err,0.0025794667257633104
40,serve_width_BW,0.0024566349769174385
24,p1_net_pt,0.0023449697506939186
38,serve_width_B,0.002243014544142009
28,p1_break_pt,0.0021495556048027587
25,p2_net_pt,0.0020635733806106484
18,p1_winner,0.001984205173664085
44,serve_depth_NCTL,0.001984205173664085
19,p2_winner,0.0018424762326880787
43,serve_depth_CTL,0.0018424762326880787
33,p2_break_pt_missed,0.001719644483842207
49,winner_shot_type_F,0.0016641720811376196
47,winner_shot_type_0,0.0016641720811376196
27,p2_net_pt_won,0.0015633131671292792
26,p1_net_pt_won,0.001517333368096065
48,winner_shot_type_B,0.001473980986150463
10,server,0.001473980986150463
21,p2_double_fault,0.0013943063382504382
32,p1_break_pt_missed,0.0013943063382504382
15,set_victor,0.0013228034491093899
31,p2_break_pt_won,0.0013228034491093899
17,p2_ace,0.0012582764515918588
20,p1_double_fault,0.0012283174884587193
30,p1_break_pt_won,0.0012283174884587193
16,p1_ace,0.0011724848753469593
