,Feature,Importance
58,macro,0.0542561359173526
36,rally_count,0.0542561359173526
18,p1_winner,0.0542561359173526
23,p2_unf_err,0.0542561359173526
26,p1_net_pt_won,0.0542561359173526
27,p2_net_pt_won,0.0542561359173526
22,p1_unf_err,0.0542561359173526
35,p2_distance_run,0.0542561359173526
47,winner_shot_type_0,0.0542561359173526
51,momentum,0.0542561359173526
52,predicted performance,0.0542561359173526
54,integrated point winner,0.0542561359173526
56,partial win probability,0.0542561359173526
57,micro,0.0542561359173526
19,p2_winner,0.0542561359173526
14,game_victor,0.0271280679586763
30,p1_break_pt_won,0.018085378639117532
9,p2_score,0.01356403397933815
15,set_victor,0.01085122718347052
34,p1_distance_run,0.009042689319558766
0,Unnamed: 0,0.009042689319558766
8,p1_score,0.006782016989669075
55,win probability,0.0060284595463725105
32,p1_break_pt_missed,0.00542561359173526
53,predicted momentum,0.0049323759924866
37,speed_mph,0.004521344659779383
50,elapsed_seconds,0.004173548916719431
33,p2_break_pt_missed,0.004173548916719431
12,p1_points_won,0.0036170757278235067
10,server,0.0033910084948345375
13,p2_points_won,0.003191537406903094
2,game_no,0.0030142297731862553
3,point_no,0.0028555861009132944
7,p2_games,0.00271280679586763
6,p1_games,0.0025836255198739334
1,set_no,0.0024661879962433
11,serve_no,0.002358962431189243
5,p2_sets,0.0022606723298896915
40,serve_width_BW,0.0022606723298896915
39,serve_width_BC,0.0020867744583597156
49,winner_shot_type_F,0.0020867744583597156
45,return_depth_D,0.00193771913990545
24,p1_net_pt,0.00193771913990545
4,p1_sets,0.0018085378639117534
41,serve_width_C,0.0018085378639117534
38,serve_width_B,0.0016955042474172688
42,serve_width_W,0.0016441253308288667
43,serve_depth_CTL,0.0016441253308288667
44,serve_depth_NCTL,0.00155017531192436
46,return_depth_ND,0.0015071148865931276
31,p2_break_pt_won,0.0014663820518203406
28,p1_break_pt,0.0014277930504566472
29,p2_break_pt,0.0013911829722398103
25,p2_net_pt,0.001356403397933815
48,winner_shot_type_B,0.0013233203882281122
17,p2_ace,0.0012918127599369667
21,p2_double_fault,0.0012918127599369667
16,p1_ace,0.00123309399812165
20,p1_double_fault,0.0012056919092745023
