,Feature,Importance
0,Unnamed: 0,0.046849592874212365
55,win probability,0.046849592874212365
36,rally_count,0.046849592874212365
50,elapsed_seconds,0.046849592874212365
52,momentum,0.046849592874212365
53,predicted performance,0.046849592874212365
13,p2_points_won,0.046849592874212365
12,p1_points_won,0.046849592874212365
1,set_no,0.046849592874212365
54,integrated point winner,0.046849592874212365
56,partial win probability,0.046849592874212365
57,micro,0.046849592874212365
7,p2_games,0.046849592874212365
6,p1_games,0.046849592874212365
5,p2_sets,0.046849592874212365
4,p1_sets,0.046849592874212365
3,point_no,0.046849592874212365
2,game_no,0.046849592874212365
51,performance,0.023424796437106182
37,speed_mph,0.015616530958070788
35,p2_distance_run,0.011712398218553091
34,p1_distance_run,0.009369918574842474
58,macro,0.007808265479035394
9,p2_score,0.006692798982030338
8,p1_score,0.005856199109276546
22,p1_unf_err,0.005205510319356929
41,serve_width_C,0.004684959287421237
45,return_depth_D,0.00425905389765567
14,game_victor,0.00425905389765567
15,set_victor,0.0036038148364778743
46,return_depth_ND,0.003346399491015169
23,p2_unf_err,0.003346399491015169
11,serve_no,0.002928099554638273
25,p2_net_pt,0.0027558584043654334
39,serve_width_BC,0.0026027551596784645
38,serve_width_B,0.0024657680460111768
40,serve_width_BW,0.0023424796437106184
42,serve_width_W,0.0022309329940101126
48,winner_shot_type_B,0.002129526948827835
19,p2_winner,0.002129526948827835
43,serve_depth_CTL,0.0019520663697588485
47,winner_shot_type_0,0.0018739837149684946
44,serve_depth_NCTL,0.0018019074182389371
49,winner_shot_type_F,0.0017351701064523097
27,p2_net_pt_won,0.0017351701064523097
29,p2_break_pt,0.0016155032025590471
30,p1_break_pt_won,0.0015616530958070787
18,p1_winner,0.0015112771894907214
24,p1_net_pt,0.0015112771894907214
10,server,0.0014196846325518898
32,p1_break_pt_missed,0.0013779292021827167
21,p2_double_fault,0.0013779292021827167
33,p2_break_pt_missed,0.0013013775798392322
28,p1_break_pt,0.0012662052128165505
17,p2_ace,0.0012328840230055884
26,p1_net_pt_won,0.0012328840230055884
16,p1_ace,0.0011712398218553092
20,p1_double_fault,0.001142672996932009
31,p2_break_pt_won,0.0011154664970050563
