,Feature,Importance
58,macro,0.11617014771414498
34,p1_distance_run,0.11617014771414498
57,micro,0.11617014771414498
54,integrated point winner,0.11617014771414498
51,performance,0.11617014771414498
35,p2_distance_run,0.05808507385707249
52,momentum,0.03872338257138166
55,win probability,0.023234029542829
53,predicted momentum,0.023234029542829
10,server,0.023234029542829
56,partial win probability,0.016595735387734997
0,Unnamed: 0,0.014521268464268123
3,point_no,0.014521268464268123
50,elapsed_seconds,0.0116170147714145
12,p1_points_won,0.010560922519467726
36,rally_count,0.010560922519467726
8,p1_score,0.008936165208780385
13,p2_points_won,0.008297867693867499
7,p2_games,0.007744676514276332
37,speed_mph,0.007260634232134061
25,p2_net_pt,0.006833538100832058
2,game_no,0.006833538100832058
9,p2_score,0.006114218300744473
6,p1_games,0.00580850738570725
5,p2_sets,0.005531911795911666
1,set_no,0.005280461259733863
43,serve_depth_CTL,0.005050875987571521
46,return_depth_ND,0.004840422821422707
4,p1_sets,0.004646805908565799
44,serve_depth_NCTL,0.004646805908565799
22,p1_unf_err,0.0043025980634868516
42,serve_width_W,0.0043025980634868516
11,serve_no,0.004005867162556724
41,serve_width_C,0.003872338257138166
47,winner_shot_type_0,0.003872338257138166
40,serve_width_BW,0.0036303171160670306
45,return_depth_D,0.0035203075064892423
14,game_victor,0.003416769050416029
39,serve_width_BC,0.003416769050416029
19,p2_winner,0.0032269485476151384
49,winner_shot_type_F,0.003139733722003919
23,p2_unf_err,0.003139733722003919
27,p2_net_pt_won,0.0029787217362601277
33,p2_break_pt_missed,0.002904253692853625
18,p1_winner,0.002833418236930366
29,p2_break_pt,0.002765955897955833
28,p1_break_pt,0.002701631342189418
48,winner_shot_type_B,0.0026402306298669315
38,serve_width_B,0.0026402306298669315
24,p1_net_pt,0.0025254379937857604
26,p1_net_pt_won,0.0024717052705137232
32,p1_break_pt_missed,0.0024202114107113536
30,p1_break_pt_won,0.0023708193411049994
16,p1_ace,0.0023234029542828997
15,set_victor,0.0023234029542828997
21,p2_double_fault,0.002234041302195096
17,p2_ace,0.0021918895795121694
31,p2_break_pt_won,0.0021512990317434258
20,p1_double_fault,0.002112184503893545
