,Feature,Importance
55,integrated point winner,0.06903217097108685
54,predicted momentum,0.06903217097108685
2,game_no,0.06903217097108685
50,elapsed_seconds,0.06903217097108685
51,performance,0.06903217097108685
56,win probability,0.06903217097108685
52,momentum,0.06903217097108685
15,set_victor,0.06903217097108685
8,p1_score,0.06903217097108685
9,p2_score,0.06903217097108685
14,game_victor,0.06903217097108685
0,Unnamed: 0,0.03451608548554343
3,point_no,0.02301072365702895
53,predicted performance,0.017258042742771713
57,micro,0.01380643419421737
37,speed_mph,0.011505361828514474
7,p2_games,0.009861738710155263
35,p2_distance_run,0.008629021371385857
6,p1_games,0.007670241219009649
34,p1_distance_run,0.006903217097108685
13,p2_points_won,0.006275651906462441
58,macro,0.005752680914257237
12,p1_points_won,0.005310166997775912
5,p2_sets,0.004930869355077631
4,p1_sets,0.00460214473140579
36,rally_count,0.004314510685692928
47,winner_shot_type_0,0.004060715939475697
1,set_no,0.0038351206095048247
46,return_depth_ND,0.0036332721563729917
42,serve_width_W,0.0034516085485543427
19,p2_winner,0.0034516085485543427
45,return_depth_D,0.0031378259532312204
40,serve_width_BW,0.003001398737873341
41,serve_width_C,0.0028763404571286186
49,winner_shot_type_F,0.0028763404571286186
11,serve_no,0.002655083498887956
48,winner_shot_type_B,0.0025567470730032166
39,serve_width_BC,0.0024654346775388157
43,serve_depth_CTL,0.0024654346775388157
38,serve_width_B,0.002301072365702895
44,serve_depth_NCTL,0.0022268442248737693
25,p2_net_pt,0.002157255342846464
23,p2_unf_err,0.0020918839688208136
18,p1_winner,0.0020303579697378486
10,server,0.0020303579697378486
22,p1_unf_err,0.0019175603047524123
28,p1_break_pt,0.0018657343505699149
27,p2_net_pt_won,0.0018166360781864959
24,p1_net_pt,0.0018166360781864959
29,p2_break_pt,0.0017258042742771713
16,p1_ace,0.0016837114870996792
17,p2_ace,0.0016436231183592105
32,p1_break_pt_missed,0.0016053993249089964
33,p2_break_pt_missed,0.0015689129766156102
26,p1_net_pt_won,0.0015340482438019301
30,p1_break_pt_won,0.0015006993689366706
21,p2_double_fault,0.0014687695951295073
31,p2_break_pt_won,0.0014381702285643093
20,p1_double_fault,0.0014088198157364662
