,Feature,Importance
25,p1_net_pt_won,0.0699803544819102
17,p1_winner,0.0699803544819102
46,winner_shot_type_0,0.0699803544819102
35,rally_count,0.0699803544819102
34,p2_distance_run,0.0699803544819102
26,p2_net_pt_won,0.0699803544819102
22,p2_unf_err,0.0699803544819102
9,server,0.0699803544819102
21,p1_unf_err,0.0699803544819102
18,p2_winner,0.0699803544819102
13,game_victor,0.0699803544819102
33,p1_distance_run,0.0349901772409551
11,p1_points_won,0.0233267848273034
29,p1_break_pt_won,0.01749508862047755
49,elapsed_seconds,0.013996070896382043
36,speed_mph,0.0116633924136517
31,p1_break_pt_missed,0.009997193497415744
2,point_no,0.008747544310238775
12,p2_points_won,0.007775594942434467
1,game_no,0.006998035448191021
7,p1_score,0.006361850407446383
38,serve_width_BC,0.00583169620682585
8,p2_score,0.00538310419091617
5,p1_games,0.004998596748707872
6,p2_games,0.004998596748707872
3,p1_sets,0.0043737721551193876
30,p2_break_pt_won,0.004116491440112365
39,serve_width_BW,0.0038877974712172333
0,set_no,0.0038877974712172333
4,p2_sets,0.0034990177240955106
24,p2_net_pt,0.0033323978324719143
45,return_depth_ND,0.0031809252037231913
40,serve_width_C,0.0030426241079091394
44,return_depth_D,0.002915848103412925
10,serve_no,0.002915848103412925
37,serve_width_B,0.002691552095458085
41,serve_width_W,0.002591864980811489
23,p1_net_pt,0.002499298374353936
42,serve_depth_CTL,0.002413115671790007
43,serve_depth_NCTL,0.00233267848273034
48,winner_shot_type_F,0.002257430789739039
32,p2_break_pt_missed,0.0021868860775596938
27,p1_break_pt,0.0021206168024821273
28,p2_break_pt,0.0020582457200561824
16,p2_ace,0.0018913609319435192
20,p2_double_fault,0.0018913609319435192
19,p1_double_fault,0.0018913609319435192
47,winner_shot_type_B,0.0018913609319435192
14,set_victor,0.0018913609319435192
15,p1_ace,0.0018913609319435192
